Shock,Stress,Sex,Condition,ext1_curve,ext2_curve,ext3_curve,ext4_curve,ext5_curve
l,NS,Male,10,41.66666667,8.333333333,16.66666667,0,36.36363636
l,NS,Male,10,33.33333333,16.66666667,0,16.66666667,0
l,ELS,Male,10,75,33.33333333,41.66666667,0,36.36363636
l,ELS,Male,10,66.66666667,58.33333333,58.33333333,8.333333333,0
l,NS,Female,10,0,0,0,16.66666667,18.18181818
l,NS,Female,10,0,0,0,0,0
l,NS,Female,10,0,16.66666667,0,8.333333333,9.090909091
l,ELS,Female,10,50,41.66666667,8.333333333,16.66666667,9.090909091
l,ELS,Female,10,8.333333333,8.333333333,0,0,18.18181818
l,NS,Male,10,25,16.66666667,0,0,0
l,NS,Male,10,25,25,16.66666667,0,9.090909091
l,ELS,Male,10,16.66666667,16.66666667,0,0,9.090909091
l,ELS,Male,10,41.66666667,16.66666667,25,0,9.090909091
l,NS,Female,10,25,33.33333333,8.333333333,16.66666667,16.66666667
l,NS,Female,10,58.33333333,16.66666667,25,0,8.333333333
l,ELS,Male,10,0,16.66666667,16.66666667,8.333333333,16.66666667
l,ELS,Male,10,33.33333333,8.333333333,8.333333333,25,0
l,NS,Male,10,50,75,25,25,0
l,NS,Male,10,33.33333333,0,25,0,8.333333333
l,ELS,Female,10,50,33.33333333,25,16.66666667,8.333333333
l,ELS,Female,10,25,16.66666667,0,16.66666667,16.66666667
l,NS,Male,10,58.33333333,58.33333333,33.33333333,16.66666667,25
l,NS,Male,10,8.333333333,33.33333333,0,16.66666667,0
l,NS,Male,10,25,50,33.33333333,16.66666667,8.333333333
l,NS,Female,10,8.333333333,25,8.333333333,8.333333333,16.66666667
l,NS,Female,10,33.33333333,83.33333333,8.333333333,0,16.66666667
l,ELS,Female,10,16.66666667,8.333333333,8.333333333,8.333333333,8.333333333
l,ELS,Female,10,33.33333333,8.333333333,8.333333333,16.66666667,0
l,NS,Male,10,8.333333333,0,8.333333333,0,0
l,NS,Male,10,33.33333333,25,0,16.66666667,0
l,NS,Female,10,0,0,0,0,0
l,NS,Female,10,0,8.333333333,0,0,8.333333333
l,ELS,Male,10,33.33333333,33.33333333,0,0,16.66666667
l,ELS,Male,10,25,83.33333333,66.66666667,0,8.333333333
l,ELS,Male,10,41.66666667,41.66666667,50,33.33333333,41.66666667
l,ELS,Female,10,0,0,0,0,0
l,ELS,Female,10,8.333333333,0,0,0,0
l,NS,Male,10,0,25,16.66666667,0,0
l,NS,Male,10,0,0,0,0,0
l,NS,Female,10,8.333333333,8.333333333,0,8.333333333,0
l,NS,Female,10,16.66666667,8.333333333,0,25,0
l,ELS,Male,10,25,50,16.66666667,16.66666667,33.33333333
l,ELS,Male,10,25,16.66666667,50,25,25
l,ELS,Female,10,25,16.66666667,8.333333333,0,0
l,ELS,Female,10,8.333333333,0,8.333333333,16.66666667,16.66666667
l,ELS,Male,10,58.33333333,25,16.66666667,8.333333333,8.333333333
l,ELS,Male,10,25,16.66666667,16.66666667,0,0
l,NS,Male,10,16.66666667,8.333333333,8.333333333,8.333333333,16.66666667
l,NS,Male,10,16.66666667,33.33333333,41.66666667,16.66666667,8.333333333
l,NS,Male,10,16.66666667,8.333333333,25,0,0
l,ELS,Female,10,50,25,16.66666667,16.66666667,25
l,ELS,Female,10,16.66666667,8.333333333,0,0,8.333333333
l,ELS,Male,10,66.66666667,75,50,16.66666667,16.66666667
l,ELS,Male,10,50,66.66666667,8.333333333,0,0
l,NS,Female,10,8.333333333,0,16.66666667,16.66666667,8.333333333
l,ELS,Female,10,58.33333333,66.66666667,25,25,16.66666667
l,ELS,Female,10,66.66667,41.66666667,58.33333333,25,8.333333333
l,NS,Male,10,8.333333333,66.66666667,16.66666667,8.333333333,0
l,NS,Male,10,0,0,0,0,0
l,NS,Male,10,33.33333333,58.33333333,25,8.333333333,16.66666667
l,ELS,Female,10,25,33.33333333,16.66666667,8.333333333,8.333333333
l,ELS,Female,10,33.33333333,0,0,8.333333333,0
l,NS,Female,10,0,0,0,0,0
l,NS,Female,10,0,0,8.333333333,25,0
l,ELS,Male,10,58.33333333,25,25,8.333333333,0
l,ELS,Male,10,91.66666667,75,25,33.33333333,33.33333333
l,ELS,Male,10,0,0,0,50,0
l,ELS,Male,10,16.66666667,8.333333333,0,0,0
l,NS,Female,10,0,8.333333333,0,0,0
l,NS,Female,10,50,25,8.333333333,8.333333333,0
l,NS,Male,10,16.66666667,58.33333333,25,0,0
l,NS,Male,10,25,41.66666667,8.333333333,33.33333333,8.333333333
l,NS,Male,10,83.33333333,83.33333333,41.66666667,58.33333333,58.33333333
l,NS,Male,10,16.66666667,25,0,8.333333333,16.66666667
l,ELS,Female,10,0,0,0,0,8.333333333
l,ELS,Female,10,66.66666667,41.66666667,16.66666667,33.33333333,0
