"","Shock","Stress","Sex","Condition","ext1_curve","ext2_curve","ext3_curve","ext4_curve","ext5_curve","ID"
"6","h","ELS","Male","10",66.66666667,33.33333333,0,8.333333333,41.66666667,1
"7","h","ELS","Male","10",33.33333333,41.66666667,50,16.66666667,25,2
"8","h","NS","Male","10",8.333333333,0,0,0,18.18181818,3
"9","h","NS","Male","10",16.66666667,33.33333333,16.66666667,41.66666667,9.090909091,4
"14","h","ELS","Male","10",66.66666667,41.66666667,33.33333333,50,41.66666667,5
"15","h","ELS","Male","10",33.33333333,33.33333333,8.333333333,8.333333333,0,6
"16","h","NS","Male","10",91.66666667,75,50,25,25,7
"17","h","NS","Male","10",50,33.33333333,50,16.66666667,8.333333333,8
"22","h","ELS","Male","10",41.66666667,41.66666667,41.66666667,41.66666667,50,9
"23","h","ELS","Male","10",100,91.66666667,58.33333333,41.66666667,50,10
"24","h","NS","Female","10",25,16.66666667,16.66666667,16.66666667,16.66666667,11
"25","h","NS","Female","10",8.333333333,0,8.333333333,0,0,12
"31","h","NS","Female","10",0,8.333333333,0,8.333333333,0,13
"32","h","NS","Female","10",25,33.33333333,33.33333333,16.66666667,0,14
"34","h","NS","Male","10",91.66666667,100,100,83.33333333,75,15
"47","h","ELS","Female","10",91.66666667,91.66666667,58.33333333,75,8.333333333,16
"48","h","ELS","Female","10",8.333333333,8.333333333,0,8.333333333,0,17
"49","h","ELS","Female","10",50,25,33.33333333,8.333333333,16.66666667,18
"50","h","ELS","Female","10",8.333333333,8.333333333,0,0,8.333333333,19
"51","h","ELS","Female","10",41.66666667,25,16.66666667,91.66666667,33.33333333,20
"52","h","ELS","Female","10",75,66.66666667,66.66666667,66.66666667,33.33333333,21
"53","h","NS","Female","10",25,33.33333333,16.66666667,8.333333333,25,22
"54","h","NS","Female","10",8.333333333,16.66666667,0,0,0,23
"67","h","ELS","Male","10",61.53846154,53.84615385,23.07692308,15.38461538,0,24
"68","h","ELS","Male","10",69.23076923,69.23076923,46.15384615,0,0,25
"69","h","ELS","Male","10",84.61538462,46.15384615,61.53846154,61.53846154,87.5,26
"70","h","ELS","Male","10",84.61538462,76.92307692,38.46153846,15.38461538,0,27
"71","h","ELS","Male","10",83.33333333,84.61538462,69.23076923,23.07692308,50,28
"72","h","ELS","Male","10",50,76.92307692,7.692307692,23.07692308,0,29
"77","h","ELS","Female","10",30.76923077,53.84615385,30.76923077,46.15384615,0,30
"78","h","ELS","Female","10",30.76923077,7.692307692,23.07692308,23.07692308,0,31
"80","h","ELS","Female","10",84.61538462,61.53846154,30.76923077,23.07692308,0,32
"81","h","ELS","Female","10",15.38461538,15.38461538,30.76923077,0,0,33
"84","h","ELS","Male","10",50,16.66666667,41.66666667,25,25,34
"85","h","ELS","Male","10",41.66666667,58.33333333,33.33333333,25,25,35
"91","h","ELS","Female","10",69.23076923,25,8.333333333,50,41.66666667,36
"92","h","ELS","Female","10",33.33333333,16.66666667,16.66666667,8.333333333,0,37
"93","h","ELS","Female","10",41.66666667,33.33333333,58.33333333,41.66666667,83.33333333,38
"94","h","ELS","Female","10",41.66666667,41.66666667,50,8.333333333,50,39
"101","h","NS","Male","10",58.33333333,33.33333333,25,25,33.33333333,40
"102","h","NS","Male","10",16.66666667,100,41.66666667,8.333333333,16.66666667,41
"103","h","NS","Male","10",8.333333333,0,0,0,8.333333333,42
"104","h","NS","Male","10",83.33333333,83.33333333,91.66666667,41.66666667,8.333333333,43
"105","h","NS","Male","10",8.333333333,8.333333333,8.333333333,0,0,44
"112","h","NS","Male","10",33.33333333,0,58.33333333,66.66666667,23.07692308,45
"113","h","NS","Male","10",66.66666667,41.66666667,16.66666667,58.33333333,23.07692308,46
"114","h","ELS","Male","10",66.66666667,50,0,0,0,47
"115","h","ELS","Male","10",50,58.33333333,25,50,46.15384615,48
"116","h","ELS","Male","10",91.66666667,83.33333333,66.66666667,66.66666667,30.76923077,49
"120","h","NS","Female","10",50,8.333333333,33.33333333,16.66666667,46.15384615,50
"121","h","NS","Female","10",33.33333333,41.66666667,16.66666667,16.66666667,7.692307692,51
"126","h","NS","Female","10",23.07692308,0,0,0,0,52
"127","h","NS","Female","10",38.46153846,25,8.333333333,8.333333333,33.33333333,53
"128","h","NS","Female","10",76.92307692,100,100,83.33333333,66.66666667,54
"129","h","ELS","Female","10",76.92307692,33.33333333,16.66666667,0,58.33333333,55
"130","h","ELS","Female","10",53.84615385,33.33333333,25,33.33333333,8.333333333,56
"131","h","ELS","Female","10",46.15384615,25,0,0,0,57
